,money,brand,model,year,color,fuel_type,door,gear,motor,body_type,kilometres,currency
259,34990,Mercedes-Benz,Clase GLA,2015,Negro,Nafta,5.0,Automática,1.6,SUV,86000,dólares
260,7899900,Volkswagen,Amarok,2018,Blanco,Diésel,4.0,Manual,2.0,Pick-Up,79000,pesos
261,3150000,Honda,Fit,2013,Blanco,Nafta,5.0,Manual,1.5,Hatchback,82000,pesos
262,2950000,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,84000,pesos
263,4459900,Renault,Duster Oroch,2019,Blanco,Nafta,4.0,Manual,1.6,SUV,62000,pesos
264,3150000,Chevrolet,Cruze,2014,Plateado,Nafta,4.0,Manual,1.8,Sedán,61000,pesos
265,13499,Volkswagen,Vento,2012,Plateado,Nafta,4.0,Automática,2.0,Sedán,196000,dólares
266,3485000,Volkswagen,Polo,2017,Gris,Nafta,4.0,Manual,1.6,Hatchback,49000,pesos
267,3189900,Renault,Kwid,2020,Rojo,Nafta,5.0,Manual,1.0,Hatchback,39000,pesos
268,3289900,Renault,Mégane III,2016,Azul,Nafta,4.0,Manual,1.6,Hatchback,69000,pesos
269,12490000,Toyota,Corolla Cross,2022,Negro,Híbrido/Nafta,5.0,Automática,1.8,SUV,2000,pesos
270,2689900,Peugeot,308,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
271,35499,Toyota,Hilux,2020,Plateado,Diésel,4.0,Automática,2.8,Pick-Up,57700,dólares
272,3489900,Hyundai,Tucson,2011,Plateado,Nafta,5.0,Manual,2.0,SUV,137000,pesos
273,3589900,Ford,Focus III,2015,Blanco,Nafta,5.0,Automática,2.0,Hatchback,79000,pesos
274,2989900,Fiat,500,2014,Azul,Nafta,3.0,Manual,1.4,Hatchback,69000,pesos
275,13949900,Chevrolet,Trailblazer,2021,Gris,Diésel,5.0,Automática,2.8,SUV,23000,pesos
276,3189900,Chevrolet,Onix,2016,Rojo,Nafta/GNC,5.0,Automática,1.4,Hatchback,60000,pesos
277,2500000,Subaru,XV,2011,Blanco,Nafta,5.0,Automática,2.0,Hatchback,204000,pesos
278,1760000,Fiat,Uno,2010,Rojo,Nafta,5.0,Manual,Desconocido,,128000,pesos
279,12489000,Toyota,Hilux,2019,Blanco,Diésel,4.0,Automática,2.8,Pick-Up,64000,pesos
280,5889000,Jeep,Renegade,2017,Gris,Nafta,5.0,Automática,1.8,SUV,62000,pesos
281,3700000,Toyota,RAV4,2010,Negro,Nafta,5.0,Automática,2.4,SUV,98000,pesos
282,3089900,Chevrolet,Prisma,2017,Negro,Nafta/GNC,4.0,Manual,1.4,Sedán,69000,pesos
283,6489900,Audi,A1,2016,Gris,Nafta,3.0,Automática,1.4,Hatchback,46000,pesos
284,4389900,Audi,A3 Sportback,2011,Blanco,Nafta,5.0,Automática,2.0,Hatchback,89000,pesos
285,2800000,Peugeot,308,2016,Blanco,Nafta,5.0,Manual,1.6,Hatchback,161000,pesos
286,4630000,Peugeot,208,2022,Negro,Nafta,5.0,Manual,1.6,Hatchback,500,pesos
287,26990,Toyota,SW4,2011,Negro,Diésel,5.0,Manual,3.0 TD,SUV,140000,dólares
288,8000,Volkswagen,Gol Trend,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,130000,dólares
289,3989900,Audi,A4,2011,Gris,Nafta,4.0,Automática,2.0,Sedán,99100,pesos
290,3050000,Renault,Logan,2016,Desconocido,Nafta,4.0,Manual,1.6,Sedán,37300,pesos
291,7150000,Honda,HR-V,2017,Blanco,Nafta,5.0,Automática,1.8,SUV,77000,pesos
292,3450500,Volkswagen,Suran,2015,Plateado,Nafta,5.0,Manual,1.6,Monovolumen,65000,pesos
293,3500000,Ford,Fiesta Kinetic Design,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,44000,pesos
294,8500000,Volkswagen,Amarok,2019,Dorado,Diésel,4.0,Automática,2.0,Pick-Up,88000,pesos
295,1690000,Chevrolet,Celta,2013,Desconocido,Nafta,3.0,Manual,1.4,Hatchback,109000,pesos
296,2750000,Peugeot,408,2012,Gris,Nafta,4.0,Automática,1.6,Sedán,95000,pesos
297,10500000,Peugeot,3008,2020,Gris,Nafta,5.0,Automática,1.6,SUV,45800,pesos
298,3250000,Chevrolet,Onix,2017,Negro,Nafta,5.0,Manual,1.4,Hatchback,112000,pesos
299,2649900,Ford,Fiesta Kinetic Design,2013,Violeta,Nafta,5.0,Manual,1.6,Hatchback,79000,pesos
300,11900000,Toyota,Hilux,2019,Gris,Diésel,4.0,Automática,2.8,Pick-Up,51600,pesos
301,6690000,Toyota,Corolla,2019,Marrón,Nafta,4.0,Automática,1.8,Sedán,49000,pesos
302,10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48700,pesos
303,5099999,Volkswagen,Saveiro,2019,Gris,Nafta,2.0,Manual,1.6,Pick-Up,86000,pesos
304,3290000,Citroën,C3,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,96400,pesos
305,5390000,Ford,Focus III,2017,Rojo,Nafta,5.0,Automática,2.0,Hatchback,26000,pesos
306,2550000,Citroën,C3,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,119000,pesos
307,2990000,Peugeot,308,2014,Blanco,Nafta,5.0,Manual,1.6,Hatchback,74000,pesos
308,3300000,Volkswagen,Gol Trend,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,55000,pesos
309,4690000,Chevrolet,Tracker,2017,Gris,Nafta,5.0,Automática,1.8,SUV,41000,pesos
310,5099999,Renault,Duster,2019,Plateado,Nafta,5.0,Manual,1.6,SUV,59000,pesos
311,3299999,Volkswagen,Gol Trend,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,55000,pesos
312,11850000,Ford,Ranger,2021,Gris,Diésel,4.0,Automática,3.2,Pick-Up,61000,pesos
313,4900000,Chevrolet,S10,2016,Blanco,Diésel,4.0,Manual,2.8,Pick-Up,152000,pesos
314,7300000,Toyota,Corolla,2021,Negro,Nafta,4.0,Automática,1.8,Sedán,29200,pesos
315,3900000,Renault,Sandero,2020,Blanco,Nafta,5.0,Automática,1.6,Hatchback,62400,pesos
316,8500000,Peugeot,5008,2018,Gris,Nafta,5.0,Manual,1.6,Monovolumen,52000,pesos
317,14500,Mercedes-Benz,Clase C,2009,Azul,Nafta,4.0,Automática,3.0,Sedán,105000,dólares
318,43990,Mercedes-Benz,Clase GLA,2017,Gris,Nafta,5.0,Automática,1.6,SUV,60000,dólares
319,4000000,Ford,Fiesta Kinetic Design,2019,Plateado,Nafta/GNC,5.0,Manual,1.6,Hatchback,38000,pesos
320,3000000,Volkswagen,Up!,2016,Gris,Nafta,3.0,Manual,1.0,Hatchback,25000,pesos
321,77500,RAM,1500,2022,Gris,Nafta,4.0,Automática,5.7,Pick-Up,8000,dólares
322,7390000,Jeep,Renegade,2020,Blanco,Nafta,5.0,Automática,1.8,SUV,40000,pesos
323,89990,BMW,Serie 2,2021,Celeste,Nafta,2.0,Automática,3.0,Coupé,2500,dólares
324,8500000,Volkswagen,Vento,2018,Blanco,Nafta,4.0,Manual,2.0,Sedán,44000,pesos
325,33999,Volkswagen,Golf,2016,Blanco,Nafta,5.0,Automática,2.0,Hatchback,41100,dólares
326,5480000,BMW,Serie 3,2009,Gris,Nafta,2.0,Manual,2.5,Coupé,79700,pesos
327,4400000,Citroën,C4 Lounge,2018,Blanco,Diésel,4.0,Manual,1.6,Sedán,48000,pesos
328,8250000,Volkswagen,Amarok,2018,Plateado,Diésel,4.0,Automática,2.0,Pick-Up,50000,pesos
329,7500000,Volkswagen,Sharan,2014,Desconocido,Nafta,5.0,Automática,2.0,Monovolumen,66000,pesos
330,5800000,Volkswagen,Vento,2015,Blanco,Nafta,4.0,Automática,2.5,Sedán,98000,pesos
331,2750000,Citroën,DS3,2012,Desconocido,Nafta,3.0,Manual,1.6,Hatchback,95000,pesos
332,2700000,Chevrolet,Prisma,2013,Celeste,Nafta,4.0,Manual,1.4,Sedán,64000,pesos
333,9250000,Mercedes-Benz,Sprinter,2018,Blanco,Diésel,2.0,Manual,2.1,Minivan,242000,pesos
334,2440000,Renault,Fluence,2013,Dorado,Nafta,4.0,Manual,1.6,Sedán,45000,pesos
335,2189900,Renault,Clio,2016,Gris,Nafta,5.0,Manual,1.2,Hatchback,89100,pesos
336,2977000,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,85400,pesos
337,26990,Volkswagen,Polo,2021,Blanco,Nafta,5.0,Automática,1.4,Hatchback,10900,dólares
338,3150000,Ford,Ranger,2007,Blanco,Diésel,2.0,Manual,3.0,Pick-Up,178000,pesos
339,3000000,Volkswagen,Gol Trend,2016,Blanco,Nafta,5.0,Manual,1.6,Hatchback,96133,pesos
340,3000000,Citroën,C4 Lounge,2016,Gris,Nafta,4.0,Automática,1.6,Sedán,76916,pesos
341,6000000,Fiat,Toro,2017,Plateado,Diésel,4.0,Automática,2.0,Pick-Up,108933,pesos
342,3300000,Chery,Tiggo 3,2017,Gris,Nafta,5.0,Manual,1.6,SUV,71239,pesos
343,2600000,Renault,Fluence,2016,Blanco,Nafta,4.0,Manual,1.6,Sedán,98700,pesos
344,8700000,Citroën,Jumpy,2022,Desconocido,Diésel,3.0,Manual,1.6,Furgón,1000,pesos
345,3280000,Ford,Ka,2018,Rojo,Nafta,5.0,Manual,1.5,Hatchback,37000,pesos
346,4690000,Renault,Kangoo,2021,Gris,Nafta,3.0,Manual,1.6,Furgón,23000,pesos
347,1895000,Suzuki,Swift,2009,Gris,Nafta,5.0,Manual,1.5,Hatchback,190000,pesos
348,4350000,Ford,Focus III,2017,Blanco,Nafta,5.0,Automática,2.0,Hatchback,44500,pesos
349,11200000,Toyota,Hilux,2021,Gris,Diésel,4.0,Automática,2.8,Pick-Up,28000,pesos
350,11890000,Volkswagen,Taos,2022,Gris,Nafta,5.0,Automática,1.4,SUV,1011,pesos
351,4200000,Renault,Sandero,2020,Gris,Nafta,5.0,Manual,1.6,Hatchback,22000,pesos
352,5890000,Hyundai,Creta,2019,Blanco,Nafta,5.0,Automática,1.6,SUV,55000,pesos
353,4200000,Ford,Focus III,2018,Blanco,Nafta,4.0,Manual,1.6,Sedán,46000,pesos
354,8990000,Dodge,Journey,2018,Negro,Nafta,5.0,Manual,3.6,SUV,60000,pesos
355,3000000,BMW,Serie 1,2008,Gris,Nafta,5.0,Manual,1.6,Hatchback,121000,pesos
356,77500,RAM,1500,2022,Blanco,Nafta,4.0,Automática,5.7,Pick-Up,4700,dólares
357,4690000,Renault,Captur,2018,Naranja,Nafta,5.0,Manual,2.0,SUV,61000,pesos
358,11195000,Volkswagen,Golf,2019,Blanco,Nafta,5.0,Automática,2.0,Hatchback,58000,pesos
359,5990000,Jeep,Renegade,2018,Azul,Nafta,5.0,Automática,1.8,SUV,62000,pesos
360,5450500,Volkswagen,Amarok,2015,Blanco,Diésel,4.0,Manual,2.0,Pick-Up,115000,pesos
361,16300,Ford,F-100,1997,Gris,Diésel,2.0,Manual,2.5,Pick-Up,335000,dólares
362,6190000,Honda,Fit,2019,Blanco,Nafta,5.0,Automática,1.5,Hatchback,28000,pesos
363,7890000,Hyundai,Santa Fe,2017,Gris,Nafta,5.0,Automática,2.4,SUV,90000,pesos
364,9590000,Jeep,Compass,2020,Gris,Nafta,5.0,Manual,2.4,SUV,6000,pesos
365,36990,Toyota,Corolla,2022,Blanco,Híbrido/Nafta,4.0,Automática,1.8,Sedán,1111,dólares
366,10400000,Ford,Territory,2022,Dorado,Nafta,5.0,Automática,1.5,SUV,1000,pesos
367,1950000,Renault,Clio,2012,Negro,Nafta,5.0,Manual,1.2,Hatchback,122000,pesos
368,14299000,Volkswagen,Amarok,2022,Blanco,Diésel,4.0,Automática,3.0,Pick-Up,500,pesos
369,26500,Fiat,500X,2019,Gris,Nafta,5.0,Automática,1.4,SUV,60900,dólares
370,4990000,Renault,Captur,2019,Blanco,Nafta,5.0,Automática,1.6,SUV,73000,pesos
371,5990000,Kia,Cerato,2020,Blanco,Nafta,4.0,Automática,2.0,Sedán,86000,pesos
372,2689000,Peugeot,208,2015,Blanco,Nafta,5.0,Manual,1.5,Hatchback,71000,pesos
373,2700000,Renault,Kangoo,2011,Gris,Nafta,4.0,Automática,1.6,Monovolumen,39000,pesos
374,13900,Kia,Soul,2016,Azul,Nafta,5.0,Automática,1.6,SUV,126000,dólares
375,7040000,Volkswagen,Amarok,2014,Gris,Diésel,4.0,Automática,2.0,Pick-Up,125000,pesos
376,3400000,Volkswagen,Voyage,2017,Gris,Nafta,4.0,Manual,1.6,Sedán,83000,pesos
377,2900000,Chevrolet,Prisma,2015,Blanco,Nafta,4.0,Manual,1.4,Sedán,126000,pesos
378,2500000,Chevrolet,Sonic,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,102000,pesos
379,2090000,Volkswagen,Bora,2011,Negro,Nafta,4.0,Manual,2.0,Sedán,168200,pesos
380,4700000,Chevrolet,Tracker,2017,Plateado,Nafta,5.0,Automática,1.8,SUV,45100,pesos
381,65900,Ford,Ranger Raptor,2022,Blanco,Diésel,4.0,Automática,2.0,Pick-Up,1111,dólares
382,77490,RAM,1500,2022,Blanco,Nafta,4.0,Automática,5.7,Pick-Up,4700,dólares
383,16500,Ford,Focus III,2017,Gris,Nafta,5.0,Automática,2.0,Hatchback,75000,dólares
384,2990000,Volkswagen,Suran Cross,2014,Desconocido,Nafta,5.0,Manual,1.6,Monovolumen,120000,pesos
385,2850000,Peugeot,308,2012,Blanco,Nafta,5.0,Manual,1.6,Hatchback,136000,pesos
386,5050000,Peugeot,2008,2019,Blanco,Nafta,5.0,Manual,1.6,SUV,29530,pesos
387,3800000,Chevrolet,Onix,2018,Gris,Nafta,5.0,Manual,1.4,Hatchback,28300,pesos
388,6700000,Honda,HR-V,2018,Gris,Nafta,5.0,Automática,1.8,SUV,99700,pesos
389,4989900,Volkswagen,T-Cross,2019,Rojo,Nafta,5.0,Manual,1.6,SUV,69100,pesos
390,6290000,Volkswagen,T-Cross,2019,Gris,Nafta,5.0,Manual,1.6,SUV,30000,pesos
391,7789900,Volkswagen,Amarok,2018,Azul,Diésel,4.0,Manual,2.0,Pick-Up,99100,pesos
392,31000,Mercedes-Benz,Clase A,2017,Plateado,Nafta,5.0,Manual,1.6,Hatchback,59000,dólares
393,5890000,Chevrolet,S10,2016,Blanco,Diésel,4.0,Manual,2.8,Pick-Up,143000,pesos
394,7889900,Volkswagen,Amarok,2018,Blanco,Diésel,4.0,Manual,2.0,Pick-Up,79000,pesos
395,3489900,Hyundai,Tucson,2011,Gris,Nafta,5.0,Manual,2.0,SUV,137000,pesos
396,79000,BMW,Serie 2,2021,Azul,Nafta,2.0,Automática,2.0,Coupé,4100,dólares
397,46999,Mercedes-Benz,Clase A,2017,Blanco,Nafta,5.0,Automática,2.0,Hatchback,12000,dólares
398,4490000,Fiat,Toro,2017,Plateado,Diésel,4.0,Manual,2.0,Pick-Up,65000,pesos
399,6200000,Toyota,Corolla,2019,Blanco,Nafta,4.0,Automática,1.8,Sedán,31000,pesos
400,128000,Ford,F-150,2020,Blanco,Diésel,4.0,Automática,2.0,Pick-Up,52900,dólares
401,90000,BMW,Serie 2,2021,Azul,Nafta,2.0,Automática,3.0,Coupé,2500,dólares
402,68000,Audi,S3,2018,Azul,Nafta,3.0,Automática,2.0,Hatchback,25500,dólares
403,235000,Audi,R8 Coupé,2011,Blanco,Nafta,2.0,Automática,5.2,Coupé,19200,dólares
404,3280000,Citroën,C4 Lounge,2016,Blanco,Nafta,4.0,Automática,1.6,Sedán,100000,pesos
405,30000,Honda,HR-V,2020,Blanco,Nafta,5.0,Automática,1.8,SUV,20000,dólares
406,6199999,Toyota,Corolla,2019,Blanco,Nafta,4.0,Automática,1.8,Sedán,31000,pesos
407,15000,Volkswagen,Vento,2014,Gris,Nafta,4.0,Automática,2.0,Sedán,119000,dólares
408,4739600,Chevrolet,Tracker,2017,Blanco,Nafta,5.0,Manual,1.8,SUV,47000,pesos
409,4150000,Ford,Focus III,2019,Blanco,Nafta/GNC,4.0,Manual,1.6,Sedán,57000,pesos
410,2550000,Renault,Sandero,2017,Blanco,Nafta,5.0,Manual,1.6,Hatchback,120000,pesos
411,2800000,Volkswagen,Gol Trend,2016,Gris,Nafta,5.0,Manual,1.6,Hatchback,82000,pesos
412,3150000,Chevrolet,Onix,2015,Gris,Nafta,5.0,Automática,1.4,Hatchback,67000,pesos
413,24800,BMW,Serie 3,2008,Negro,Nafta,2.0,Manual,3.0,Coupé,91400,dólares
414,2050000,Volkswagen,Gol,2014,Gris,Nafta,5.0,Manual,1.4,Hatchback,43000,pesos
415,34900,Honda,CR-V,2016,Negro,Nafta,5.0,Automática,2.4,SUV,62000,dólares
416,10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48500,pesos
417,2050000,Chevrolet,Meriva,2012,Gris,Nafta/GNC,5.0,Manual,1.8,Monovolumen,98000,pesos
418,8300000,Jeep,Compass,2019,Blanco,Nafta,5.0,Automática,2.4,SUV,36000,pesos
419,3189900,Chevrolet,Onix,2016,Rojo,Nafta,5.0,Manual,1.4,Hatchback,60000,pesos
420,8300000,Jeep,Compass,2019,Blanco,Nafta,5.0,Manual,2.4,SUV,36000,pesos
421,1200000,Chevrolet,Corsa,2008,Plateado,Nafta,3.0,Manual,1.6,Hatchback,150000,pesos
422,11400000,Ford,Territory,2022,Blanco,Nafta,5.0,Automática,1.5,SUV,1000,pesos
423,3600000,Peugeot,308,2014,Gris,Nafta,5.0,Automática,1.6,Hatchback,118000,pesos
424,4700000,Citroën,C4 Cactus,2018,Negro,Nafta,5.0,Automática,1.2,SUV,39600,pesos
425,2800000,Chevrolet,Prisma,2016,Negro,Nafta,4.0,Manual,1.4,Sedán,70943,pesos
426,4600000,Renault,Captur,2017,Blanco,Nafta,5.0,Automática,2.0,SUV,42800,pesos
427,3800000,Citroën,Berlingo,2015,Gris,Diésel,5.0,Manual,1.6,Monovolumen,134545,pesos
428,19500,Mini,Cooper Countryman,2014,Azul,Nafta,5.0,Automática,1.6,Hatchback,119000,dólares
429,6646000,Ford,Ranger,2020,Blanco,Diésel,4.0,Manual,2.2,Pick-Up,127000,pesos
430,3355000,Chevrolet,Prisma,2019,Negro,Nafta/GNC,4.0,Manual,1.4,Sedán,83000,pesos
431,2800000,Ford,Ka,2016,Rojo,Nafta,5.0,Manual,1.5,Hatchback,61000,pesos
432,7100000,Volkswagen,Vento,2018,Gris,Nafta,4.0,Manual,2.0,Sedán,120000,pesos
433,2165000,Chevrolet,Celta,2014,Negro,Nafta/GNC,5.0,Manual,1.4,Hatchback,69000,pesos
434,4890000,Volkswagen,Tiguan,2012,Gris,Nafta,5.0,Automática,2.0,SUV,148000,pesos
435,41990,Toyota,SW4,2016,Blanco,Diésel,5.0,Automática,2.8,SUV,73000,dólares
436,11989900,RAM,1500,2017,Gris,Nafta,4.0,Automática,5.7,Pick-Up,79100,pesos
437,8900,Volvo,C30,2008,Negro,Nafta,5.0,Manual,2.0,Hatchback,173000,dólares
438,10359900,DS,DS3 Crossback,2021,Azul,Nafta,5.0,Automática,1.2,Hatchback,15100,pesos
439,10900000,Volkswagen,Tiguan Allspace,2021,Gris,Nafta,5.0,Automática,1.4,SUV,48750,pesos
440,10000,Volvo,960,1995,Gris,Nafta,5.0,Manual,3.0,Rural,125000,dólares
441,10359900,DS,DS3 Crossback,2021,Verde,Nafta,5.0,Automática,1.2,Hatchback,15000,pesos
442,23000,Volkswagen,Amarok,2016,Azul,Diésel,4.0,Manual,2.0,Pick-Up,215000,dólares
443,1698000,Ford,Ka,2011,Desconocido,Nafta,3.0,Manual,1.6,Hatchback,97000,pesos
444,7390000,Volkswagen,Amarok,2016,Negro,Diésel,4.0,Manual,2.0,Pick-Up,135000,pesos
445,13500,Volkswagen,Tiguan,2009,Plateado,Diésel,5.0,Automática,2.0,SUV,170000,dólares
446,9300000,Ford,Territory,2022,Blanco,Nafta,5.0,Automática,1.5,SUV,10897,pesos
447,3790000,Ford,Ecosport,2017,Gris,Nafta,5.0,Manual,1.6,SUV,74000,pesos
448,5890000,Volkswagen,T-Cross,2019,Gris,Nafta,5.0,Automática,1.6,SUV,88000,pesos
449,15990,Jeep,Patriot,2012,Negro,Nafta,5.0,Manual,2.0,SUV,119000,dólares
450,24500,Volkswagen,Nivus,2021,Gris,Nafta,5.0,Automática,1.0,SUV,10000,dólares
451,4989900,Volkswagen,T-Cross,2019,Violeta,Nafta,5.0,Manual,1.6,SUV,69000,pesos
452,9900000,Toyota,RAV4,2017,Gris,Nafta,5.0,Automática,2.5,SUV,83100,pesos
453,7250000,Toyota,Corolla,2021,Negro,Nafta,4.0,Automática,1.8,Sedán,29120,pesos
454,4100000,Renault,Duster,2018,Blanco,Nafta/GNC,5.0,Manual,1.6,SUV,111000,pesos
455,4100000,Chevrolet,Cruze II,2016,Blanco,Nafta,4.0,Manual,1.4,Sedán,63000,pesos
456,9900000,Jeep,Compass,2022,Plateado,Nafta,5.0,Automática,1.3,SUV,1800,pesos
457,6589900,Mercedes-Benz,Sprinter,2015,Blanco,Diésel,2.0,Manual,2.1,Furgón,179100,pesos
458,14500,BMW,Serie 3,2008,Gris,Nafta,4.0,Manual,2.0,Sedán,73000,dólares
459,2400000,Renault,Fluence,2011,Gris,Nafta,4.0,Manual,1.6,Sedán,89000,pesos
460,30990,Jeep,Compass,2017,Blanco,Nafta,5.0,Automática,2.4,SUV,41000,dólares
461,430000,Audi,R8 Coupé,2020,Azul,Nafta,2.0,Automática,5.2,Coupé,3000,dólares
462,13499,Mitsubishi,Outlander,2012,Negro,Nafta,5.0,Automática,2.4,SUV,168000,dólares
463,3600000,Citroën,DS4,2012,Gris,Nafta,5.0,Automática,1.6,Hatchback,86000,pesos
464,3350000,Chevrolet,Prisma,2017,Blanco,Nafta,4.0,Manual,1.4,Sedán,121000,pesos
465,2650000,Renault,Duster,2013,Gris,Nafta,5.0,Manual,1.6,SUV,106000,pesos
466,5350000,Renault,Duster Oroch,2019,Blanco,Nafta,5.0,Manual,2.0,SUV,28000,pesos
467,1950000,Peugeot,504,1996,Desconocido,Diésel,4.0,Manual,2.3,Sedán,99000,pesos
468,5650000,Toyota,Corolla,2017,Plateado,Nafta,4.0,Automática,1.8,Sedán,55000,pesos
469,3600000,Citroën,Aircross,2018,Blanco,Nafta,5.0,Automática,1.6,Hatchback,67000,pesos
470,6790000,Chevrolet,Tracker,2022,Blanco,Nafta,5.0,Manual,1.2,SUV,1400,pesos
471,1860000,Renault,Logan,2014,Negro,Nafta,4.0,Manual,1.6,Sedán,86000,pesos
472,4800000,Toyota,Yaris,2019,Blanco,Nafta,4.0,Automática,1.5,Sedán,35000,pesos
473,4190000,Fiat,Cronos,2021,Gris,Nafta,4.0,Manual,1.3,Sedán,21000,pesos
474,3400000,Peugeot,2008,2017,Gris,Nafta,5.0,Manual,1.6,SUV,70000,pesos
475,39990,Toyota,Hilux,2022,Gris,Diésel,4.0,Automática,2.8,Pick-Up,18000,dólares
476,2790000,Toyota,Corolla,2013,Plateado,Nafta,4.0,Manual,1.8,Sedán,143000,pesos
477,8900000,Chevrolet,Tracker,2020,Plateado,Nafta,5.0,Automática,1.2,SUV,37000,pesos
478,1990000,Citroën,Berlingo,2009,Plateado,Nafta,5.0,Manual,1.4,Furgón,220000,pesos
479,9100000,Dodge,Journey,2018,Negro,Nafta,5.0,Manual,3.6,SUV,41800,pesos
480,3075000,Chevrolet,Onix,2016,Plateado,Nafta,5.0,Manual,1.4,Hatchback,58500,pesos
481,3290000,Ford,Ka,2018,Blanco,Nafta,5.0,Manual,1.5,Hatchback,30000,pesos
482,2390000,Citroën,C4,2014,Blanco,Nafta,5.0,Automática,2.0,Hatchback,76000,pesos
483,46990,Volkswagen,Golf,2018,Blanco,Nafta,5.0,Automática,2.0,Hatchback,15300,dólares
484,2850000,Chevrolet,Onix,2016,Plateado,Nafta,5.0,Manual,1.4,Hatchback,68000,pesos
485,3190000,Renault,Sandero Stepway,2018,Plateado,Nafta/GNC,5.0,Manual,1.6,Hatchback,52000,pesos
486,90000,Jeep,Grand Cherokee,2017,Gris,Nafta,5.0,Automática,6.4,SUV,35000,dólares
487,4950000,Toyota,Yaris,2019,Blanco,Nafta,4.0,Manual,1.5,Sedán,37000,pesos
488,2300000,Citroën,C3 Picasso,2011,Negro,Nafta,5.0,Manual,1.6,Hatchback,114600,pesos
489,15900,Volkswagen,Passat,2012,Gris,Nafta,4.0,Automática,2.0,Sedán,147000,dólares
490,3098900,Ford,Ka,2018,Blanco,Nafta,5.0,Manual,1.5,Hatchback,58000,pesos
491,2499700,Peugeot,408,2011,Negro,Nafta,4.0,Automática,2.0,Sedán,80000,pesos
492,4149800,Peugeot,208,2018,Gris,Nafta,5.0,Automática,1.6,Hatchback,33000,pesos
493,3998700,Ford,Ecosport,2016,Negro,Nafta,5.0,Manual,1.6,SUV,80000,pesos
494,3249800,Ford,Fiesta Kinetic Design,2015,Azul,Nafta,5.0,Manual,1.6,Hatchback,55000,pesos
495,2799800,Citroën,C3,2013,Gris,Nafta,5.0,Manual,1.6,Hatchback,34000,pesos
496,3949800,Volkswagen,Suran,2019,Gris,Nafta,5.0,Manual,1.6,Monovolumen,48000,pesos
497,2781000,Nissan,March,2015,Rojo,Nafta,5.0,Manual,1.6,Hatchback,51000,pesos
498,4449800,Peugeot,208,2020,Gris,Nafta,5.0,Manual,1.6,Hatchback,11000,pesos
499,11290000,Ford,Territory,2022,Negro,Nafta,5.0,Automática,1.5,SUV,1000,pesos
500,3450000,Toyota,Etios,2017,Blanco,Nafta,5.0,Manual,1.5,Hatchback,87000,pesos
501,3000000,Nissan,March,2018,Gris,Nafta,5.0,Manual,1.6,Hatchback,67082,pesos
502,3190000,Peugeot,3008,2013,Negro,Nafta,5.0,Manual,1.6,Monovolumen,135000,pesos
503,7700000,Honda,CR-V,2017,Gris,Nafta,5.0,Automática,2.4,SUV,154451,pesos
504,2890000,Chevrolet,Cruze,2014,Gris,Nafta,5.0,Manual,1.8,Hatchback,107000,pesos
505,5250000,Chevrolet,Tracker,2018,Gris,Nafta,5.0,Automática,1.8,SUV,52000,pesos
506,46000,Volkswagen,Amarok,2019,Gris,Diésel,4.0,Automática,3.0,Pick-Up,49000,dólares
507,3960000,Peugeot,2008,2017,Blanco,Nafta,5.0,Manual,1.6,SUV,75358,pesos
508,44900,Volkswagen,Amarok,2019,Gris,Diésel,4.0,Automática,3.0,Pick-Up,57500,dólares
509,2890000,Toyota,Etios,2015,Gris,Nafta,5.0,Manual,1.5,Hatchback,84000,pesos
